ps_product_id,product_name,category_name,brand_name,synonyms_pl,synonyms_en
3,APEKS Torba na automat,Torby na Automaty,APEKS,"aparat oddechowy, torba na automat, pokrowiec na regulator, torba transportowa, torba nurkowa","regulator bag, regulator case, regulator pouch, dive bag"
11,Automat APEKS ATX40 / DS4,APEKS,APEKS,"automat oddechowy, regulator, aparat oddechowy, lung, zestaw automatów","regulator set, scuba regulator, regulator package, first and second stage, breathing apparatus"
17,APEKS DST 1. stopień,1 stopnie,APEKS,"pierwszy stopień, reduktor, i stopień automatu, automat oddechowy","first stage, regulator first stage, 1st stage, scuba first stage"
18,APEKS DS4 1. stopień,APEKS,APEKS,"pierwszy stopień, reduktor, i stopień automatu, automat oddechowy","first stage, regulator first stage, 1st stage, scuba first stage"
24,APEKS XTX40 2. stopień,2 stopnie,APEKS,"drugi stopień, ustnik, ii stopień automatu, aparat oddechowy","second stage, regulator second stage, 2nd stage, demand valve"
25,APEKS XTX50 2. stopień,2 stopnie,APEKS,"drugi stopień, ustnik, ii stopień automatu, aparat oddechowy","second stage, regulator second stage, 2nd stage, demand valve"
44,APEKS Zawór odcinający Freeflow Control Device,Akcesoria do automatów,APEKS,"aparat oddechowy, zawór odcinający, akcesoria do automatu, zabezpieczenie automatu","freeflow control device, regulator shut-off valve, regulator accessory, anti-freeflow valve"
58,APEKS Zawór Wypustowy Auto Niskopr.,Zawory do suchego skafandra,APEKS,"zawór wypustowy, zawór do suchego skafandra, zawór automatyczny, akcesoria do suchara","exhaust valve, drysuit dump valve, auto dump valve, drysuit valve, low profile dump valve"
213,"HALCYON Duża boja nurkowa (1.4m), zamknięta, pomarańczowa",Bojki dekompresyjne,HALCYON,"boja dekompresyjna, bojka deco, boja sygnalizacyjna, smb","smb, surface marker buoy, dsmb, deco buoy, safety sausage"
214,"HALCYON Extra duża boja nurkowa (1.8 m), zamknięta, pomarańczowa",Bojki dekompresyjne,HALCYON,"boja dekompresyjna, bojka deco, boja sygnalizacyjna, smb","smb, surface marker buoy, dsmb, deco buoy, safety sausage"
